|Sociedad CO|Equipo|Denominación|Perfil catálogo|Ubicac.técnica|Indicador ABC|Área de empresa|Pto.tbjo.resp.|Clase de aviso|Aviso|Descripción|Creado el|Inicio deseado|Fin deseado|Prioridad|Fecha de cierre|Status usuario|Status sistema|Autor del aviso|descripcion|descripcion2
126|ISA|117272|Reactor línea monofásico 500 kV-RV|N-REACTO|SABA500R21MC-REACT||NOR|38C10001|N2|330128|Fuga aceite valvula drenaje aceite RBucc|2013-07-24|2014-09-11|2014-09-11|4.0|2014-10-09|INIC COND ENPT|MECE ORAS|ODIAZ|fuga aceite valvula drenaje aceite rbucc|fuga aceite
127|ISA|117273|Reactor línea monofásico 500 kV-B|N-REACTO|SABA500R21MC-REACT||NOR|38C10001|N2|330126|Fuga aceite valvula drenaje aceite RBucc|2013-07-24|2014-09-11|2014-09-11|4.0|2014-10-09|INIC COND ENPT|MECE ORAS|ODIAZ|fuga aceite valvula drenaje aceite rbucc|fuga aceite
128|ISA|201114|Autotrafo Monofásico 230/115 kV-A|N-AUTOTR|LREF230ATR-1-AUTOT||CEN|38B80001|N4|330645|Medir aislamiento protecciones mecanicas|2013-08-01|2014-03-30|2014-03-30|3.0|2014-03-27|CPRO COND|MECE ORAS|PARIAS|medir aislamiento protecciones mecanicas|cambiar aislamient
129|ISA|201117|Autotrafo Monofásico 230/115 kV-B|N-AUTOTR|LREF230ATR-1-AUTOT||CEN|38B80001|N4|330646|Medir aislamiento protecciones mecanicas|2013-08-01|2014-03-30|2014-03-30|3.0|2014-03-27|CPRO COND|MECE ORAS|PARIAS|medir aislamiento protecciones mecanicas|cambiar aislamient
130|ISA|201232|Autotrafo Monofásico 230/115 kV-A|N-AUTOTR|TORC230ATR-2-AUTOT||CEN|38B80001|N4|330655|Medir aislamiento protecciones mecanicas|2013-08-01|2014-06-05|2014-06-19|3.0|2014-03-27|INIC COND|MECE ORAS|PARIAS|medir aislamiento protecciones mecanicas|cambiar aislamient
131|ISA|200203|Transformador Trifásico 230/34.5 kV|N-AUTOTR|SAMO230TRF-1-TRAFO||ORI|38B90001|N4|330960|Cambiar silica gel Trafo y OLTC Samoré|2013-08-06|2013-08-21|2013-09-20|2.0|2013-10-09|INIC COND|MECE ORAS|EFDELGADO|cambiar silica gel trafo y oltc samore|cambiar silica
132|ISA|117274|Reactor línea monofásico 500 kV-A|N-REACTO|SABA500R21MC-REACT||NOR|38C10001|N2|331212|Corregir Fuga Aceite Valvula Radiador|2013-08-09|2014-09-11|2014-09-11|5.0|2014-11-19|INIC COND ENPT|MECE ORAS|ACOT|corregir fuga aceite valvula radiador|fuga aceite
133|ISA|111690|Reactor línea monofásico 500 kV-C|N-REACTO|CHIN500R22MC-REACT||NOR|38B60001|N2|331946|Cambiar medidor de temperatura de aceite|2013-08-19|2014-02-13|2014-02-14|4.0|2014-02-19|INIC COND|MECE ORAS|MCBELLIDO|cambiar medidor de temperatura de aceite|cambiar medidor de temperatura de aceite
134|ISA|200548|Autotrafo Trifásico 230/115 kV-RV|N-AUTOTR|ESME230ATR-1-AUTOT||SUR|38B70001|N4|332127|Realizar Meggeo de protecciones mecánica|2013-08-21|2014-04-23|2014-04-23|3.0|2014-03-27|INIC COND|MECE ORAS|JFQUINTERO|realizar meggeo de protecciones mecanica|realizar meggeo de protecciones mecanica
135|ISA|202718|Autotrafo Monofásico 230/115 kV-B|N-AUTOTR|LHER230ATR-1-AUTOT||SUR|38B70001|N4|332138|Realizar Meggeo de protecciones mecánica|2013-08-21|2014-06-28|2014-06-28|3.0|2014-03-27|INIC COND|MECE ORAS|JFQUINTERO|realizar meggeo de protecciones mecanica|realizar meggeo de protecciones mecanica
136|ISA|200597|Autotrafo Trifásico 230/115 kV|N-AUTOTR|ESME230ATR-2-AUTOT||SUR|38B70001|N4|332128|Realizar Meggeo de protecciones mecánica|2013-08-21|2013-10-10|2013-10-10|3.0|2013-10-13|INIC COND|MECE|JFQUINTERO|realizar meggeo de protecciones mecanica|realizar meggeo de protecciones mecanica
137|ISA|200597|Autotrafo Trifásico 230/115 kV|N-AUTOTR|ESME230ATR-2-AUTOT||SUR|38B70001|N4|332187|Cambiar silica gel ATR2|2013-08-21|2013-08-31|2013-09-30|2.0|2013-09-02|INIC COND|MECE ORAS|ERAMOS|cambiar silica gel atr2|cambiar silica
138|TRAN|2000407|Guajira G1 200 MVA 220/13.8 kV|N-AUTOTR|TGJ_220TRA01||TGJ|38C10001|N4|333391|revisar alarma presente del trafo|2013-09-02|2013-09-13|2013-10-31|2.0|2013-10-03|INIC COND|MECE ORAS|AFERNANDEZ|revisar alarma presente del trafo|revisar alarma presente del trafo
