|Equipo|Descripción|INSP|INSP-ENF|INSP-PRO.M|INSP-M.OLTC|INSP-CUB|INSP-GAB|INSP-BUJ.TER
150|112136|aplicar sikaflex 1a protecciones mecanic|2|2|2||||
151|119040|aplicar sikaflex 1a protecciones mecanic|2||2||||
152|123183|aplicar sikaflex 1a protecciones mecanic|2||2|||9|
153|201438|aplicar sikaflex 1a protecciones mecanic|2|2|||||
154|201582|aplicar sikaflex 1a protecciones mecanic|2||2||||
155|201585|aplicar sikaflex 1a protecciones mecanic|2||2||||
156|2009377|aplicar sikaflex 1a protecciones mecanic|2||2|||8|
157|2009378|aplicar sikaflex 1a protecciones mecanic|2|9|2||9|8|
158|111566|aplicar sikaflex 1a protecciones mecanic|3||||3|9|
159|111689|aplicar sikaflex 1a protecciones mecanic|2|2||||9|
160|111690|aplicar sikaflex 1a protecciones mecanic|5|||||9|
161|111691|aplicar sikaflex 1a protecciones mecanic|5|||||9|
162|111966|aplicar sikaflex 1a protecciones mecanic|5|||||9|
163|111988|aplicar sikaflex protecciones mecanic rv|2||2|||9|
164|111989|aplicar sikaflex 1a protecciones mecanic|2||2||3|9|
165|112245|aplicar sikaflex 1a protecciones mecanic|2||2|||9|
166|112246|aplicar sikaflex 1a protecciones mecanic|2||2|||9|
167|117258|aplicar sikaflex 1a protecciones mecanic|2||2|||9|
168|117259|aplicar sikaflex 1a protecciones mecanic|2|2||||9|
169|123172|aplicar sikaflex 1a protecciones mecanic|2||2|||9|
170|133034|aplicar sikaflex 1a protecciones mecanic|2|9|2|||9|
171|2000236|aplicar sikaflex 1a protecciones mecanic|2|9|2|||9|
172|2009683|aplicar sikaflex 1a protecciones mecanic|2|9|2|||8|
173|2009685|aplicar sikaflex 1a protecciones mecanic|2|9|2|||8|
174|109355|aplicar sikaflex 1a protecciones mecanic|3|3|3||3|9|
175|109356|aplicar sikaflex 1a protecciones mecanic|2|2|2|||9|
176|109357|aplicar sikaflex 1a protecciones mecanic|2|2||||9|
177|111073|aplicar sikaflex 1a protecciones mecanic|2|2|2||||
178|111105|aplicar sikaflex 1a protecciones mecanic|2||2||8||
179|115104|aplicar sikaflex 1a protecciones mecanic|2|2|2||||
180|117273|aplicar sikaflex 1a protecciones mecanic|2|2|2|||9|
181|117274|aplicar sikaflex 1a protecciones mecanic|2||2|||9|
182|118423|aplicar sikaflex 1a protecciones mecanic|5|||||9|
183|118424|aplicar sikaflex 1a protecciones mecanic|2||||2||
184|118425|aplicar sikaflex 1a protecciones mecanic|5|||||9|
185|132503|aplicar sikaflex 1a protecciones mecanic|2|9|2|||9|
186|200203|aplicar sikaflex 1a protecciones mecanic|2|||2|||
187|200548|aplicar sikaflex 1a protecciones mecanic|2||2||||
188|200597|aplicar sikaflex 1a protecciones mecanic|2||2||||
189|201114|aplicar sikaflex 1a protecciones mecanic|3||3||||
190|201117|aplicar sikaflex 1a protecciones mecanic|3||3||||
191|201232|aplicar sikaflex 1a protecciones mecanic|5||||8|8|
192|2000233|aplicar sikaflex 1a protecciones mecanic|5|9||||9|
193|117274|corregir fuga aceite valvulas radiador|2||2|||9|
194|2009685|revisar disparo alivio presion erroneo|2|9|2|||8|
195|2009685|garant conectar disparo y alarma presion|2|9|2|||8|
196|111989|revision y conexion disparo pres. subita|2||2||3|9|
197|111989|cambio de rele de presion subita|2||2||3|9|
198|118435|cambiar silica gel|2||2|||9|
199|123181|cambiar silica gel|2||||||
200|123181|cambiar rele buchholz|2||2|||9|
201|202718|actualizar informacion de aislamiento|2||2||9||
202|118425|cambiar regenerador de silica gel|2||2||3|9|
203|117272|corregir fuga de aceite val bucholz|2|9|2||3|9|
204|118423|cambiar regenerador de silica gel|2||2|||9|
205|118424|cambiar regenerador de silica gel|2||2|||9|
206|810550|cambiar silica gel t-tbs-04 reserva|5|9|8||8||
207|810550|cambiar deposito silica t-tbs04 reserva|5|9|8||8||
208|111073|cambiar regenerador de silica gel|2|3|||2|9|
209|2011679|garantia cambiar rele buchholz|2|9|2|||8|
210|118424|corregir fuga de aceite tuberia bucholz|2||2|||9|
211|2000407|cambiar aspa motoventildor #36 t-tgj01|5|9|||8||
212|2000407|cambiar aspa motoventildor #16 t-tgj01|5|9|||8||
213|112137|cambiar protec mecanicas|2|2|2||3|9|
214|111988|cambiar rele buchholz|2||2|||9|
215|111989|cambio de rele de presion subita|2||2||3|9|
216|123181|cambiar rele buchholz|2||2|||9|
217|2000236|cambiar rele buchholz|2|9|2|||9|
218|109355|corregir ingreso humedad termometro|3|3|3||3|9|
219|109356|cambiar manguera de purga rele buchholz|2|2|2|||9|
220|112135|actualizar valores de aislamiento|2||2|||9|
221|111566|aplicar sikaflex 1a protecciones mecanic|3||||3|9|
222|117259|cambiar diafragma en tanque conservador|2|2||||9|
223|201114|cambiar silica gel|3||3||||
224|109355|cambiar indicador de nivel aceite|3|3|3||3|9|
225|115104|cambiar termometro de aceite|2|2|2||||
226|112137|cambiar gabinete de control reactor rv|2|2|2||3|9|
227|120116|cambiar silica|3||3|||9|
228|810451|cambiar silica gel|3||||8||
229|109355|cambiar silica|3|3|3||3|9|
230|109356|cambiar silica|2|2|2|||9|
231|109357|cambiar silica|2|2||||9|
