;Equipo;Descripción;DGA;DGA-T.ACE;DGA-T.PAP;DGA-DP;DGA-ARC;OIL.TAP;ADIT.OIL;ADIT.OIL-DBPC;ADIT.OIL-BTZ;OIL.CORR;OIL;OIL-DIE;OIL-FQ;BUJ;INSP;INSP-ENF;INSP-PRO.M;INSP-M.OLTC;INSP-CUB;INSP-GAB;INSP-BUJ.TER;HUM.PAP;HUM.PAP-DELTA;HUM.PAP-T.M;HUM.PAP-T.TRF;HUM.PAP-FECHA;HUM.PAP-DIAG;HUM.PAP-WHRT;HUM;HUM-DELTA;HUM-T.M;HUM-T.TRF;HUM-FECHA;HUM-DIAG;FUR;FUR-2FAL;FUR-TOT;FUR-RAT;FUR-REL;FUR-MAX;PF.DEV;PF.DEV-GND;PF.DEV-BARR;PF.DEV-PRESB;SFRA;SFRA-RAD;SFRA-AXI;SFRA-BULK;SFRA-CORE;SFRA-IMP;SFRA-CONT;SFRA-SELF;SFRA-IMG;SFRA-NO.DIAG
149;200597;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;809579;cambiar silica oltc;;;;;;9;;;;;9;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;120113;realizar muestreo-analisis fsco-qco oltc;;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;201120;realizar muestreo-analisis fsco-qco oltc;;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;807717;cambiar silica oltc;3;;3;;;9;;;;;9;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;132718;realizar muestreo-analisis fsco-qco oltc;;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;132718;realizar muestreo-analisis fsco-qco oltc;;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;116144;otro;;;;;;1;;;;;1;;;;5;9;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;2008032;otro;;;;;;1;;;;;1;;;9;5;9;9;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158;116143;otro;;;;;;2;;;;;2;;;;5;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;809873;realizar muestreo-analisis fsco-qco oltc;;;;;;9;;;;;9;;;1;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;123168;otro;;;;;;1;;;;;1;;;;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;123159;otro;;;;;;1;;;;;1;;;;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;2004555;cambiar silica oltc;;;;;;2;;;;;2;;;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;123167;otro;;;;;;;;;;;;;;2;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;123167;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;;;;;2;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;123168;realizar muestreo-analisis fsco-qco oltc;;;;;;1;;;;;1;;;;3;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;116143;otro;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;116144;otro;;;;;;1;;;;;1;;;;5;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;2008032;realizar secado oltc;;;;;;1;;;;;1;;;9;3;9;9;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;2008033;realizar secado oltc;;;;;;2;;;;;2;;;9;5;9;9;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;2008033;cambiar silica oltc;;;;;;2;;;;;2;;;9;5;9;9;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;810049;cambiar silica oltc;;;;;;9;;;;;9;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;810050;cambiar silica oltc;;;;;;9;;;;;2;2;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;2008034;realizar secado oltc;;;;;;2;;;;;2;;;9;5;9;9;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
174;2004555;otro;;;;;;2;;;;;2;;;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;2008034;otro;;;;;;2;;;;;2;;;9;5;9;9;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;2008032;otro;;;;;;1;;;;;1;;;9;5;9;9;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;2008033;otro;;;;;;2;;;;;2;;;9;5;9;9;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;2008034;otro;;;;;;2;;;;;2;;;9;3;9;9;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179;202278;cambiar silica oltc;;;;;;2;;;;;2;;;;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;202280;cambiar silica oltc;;;;;;2;;;;;2;;;;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;201120;cambiar silica oltc;;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;400039;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;;;;;;2;;2;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;808998;cambiar silica oltc;;;;;;9;;;;;9;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;808998;cambiar silica oltc;;;;;;9;;;;;9;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;809582;realizar muestreo-analisis fsco-qco oltc;7;7;7;;7;8;;;;;8;;;;2;;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;811531;realizar muestreo-analisis fsco-qco oltc;2;;2;;;9;;;;;8;8;;;3;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;2005671;realizar muestreo-analisis fsco-qco oltc;;;;;;3;;;;;3;;;;2;2;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;810551;cambiar silica oltc;;;;;;8;;;;;8;;;2;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;810550;cambiar silica oltc;;;;;;8;;;;;8;;;2;5;9;8;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;810550;cambiar silica oltc;;;;;;8;;;;;8;;;2;5;9;8;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;810551;cambiar silica oltc;;;;;;8;;;;;8;;;2;3;9;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;807717;otro;3;;3;;;9;;;;;9;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;807833;realizar muestreo-analisis fsco-qco oltc;;;;;;9;;;;;2;2;;;5;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;807717;realizar muestreo-analisis fsco-qco oltc;3;;3;;;9;;;;;9;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;2005482;otro;;;;;;3;;;;;3;;;;2;2;;;;;;6;;;;;3;;6;;;;;3;;;;;;;;;;;;;;;;;;;;
196;200597;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;;3;3;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;116143;otro;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;116144;otro;;;;;;1;;;;;1;;;;3;3;;3;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;810551;cambiar silica oltc;;;;;;8;;;;;8;;;2;3;9;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;808069;otro;3;;3;;;;;;;;;;;2;2;;2;;3;;;6;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;
201;810550;realizar muestreo-analisis fsco-qco oltc;7;7;7;;7;8;;;;;2;2;;9;5;9;9;;9;9;;3;;;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;
202;810550;realizar muestreo-analisis fsco-qco oltc;;;;;;8;;;;;2;2;;9;5;9;9;;9;9;;3;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;
203;810550;realizar muestreo-analisis fsco-qco oltc;;;;;;8;;;;;2;2;;9;5;9;9;;9;9;;3;;;;;;;3;;;;;3;;;;;;;;;;;;;;;;;;;;
204;201204;otro;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;
205;201232;otro;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;201238;otro;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;201232;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;201238;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;809578;realizar muestreo-analisis fsco-qco oltc;;;;;;9;;;;;2;2;;;5;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;809578;realizar muestreo-analisis fsco-qco oltc;;;;;;9;;;;;2;2;;;5;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;809578;hacer seguimiento generacion anormal de gases;;;;;;9;;;;;2;2;;;5;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;201582;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;201204;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;809578;otro;;;;;;9;;;;;2;2;;1;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;809578;realizar muestreo-analisis fsco-qco oltc;;;;;;9;;;;;2;2;;1;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
216;201232;realizar muestreo-analisis fsco-qco oltc;;;;;;2;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217;809578;realizar muestreo-analisis fsco-qco oltc;;;;;;9;;;;;2;2;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;201582;otro;;;;;;;;;;;3;3;;;2;;2;3;3;;;6;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;
219;809578;realizar muestreo-analisis fsco-qco oltc;;;;;;9;;;;;2;2;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220;109355;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;2;2;;;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;109356;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;2;2;;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
222;111566;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;2;2;;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;111568;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;2;2;;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224;111690;realizar muestreo-analisis fsco-qco oltc;2;;2;;;;;;;2;2;;;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;118425;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;2;2;;;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;112137;otro;;;;;;;;;;2;2;;;8;5;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
227;118425;otro;;;;;;;;;;2;2;;;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
228;111566;otro;;;;;;;;;;2;2;;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
229;111568;otro;;;;;;;;;;2;2;;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
230;118425;otro;;;;;;;;;;2;2;;;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
231;111566;otro;;;;;;;;;;;;;;8;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
232;109357;otro;;;;;;;;;;3;3;;;8;2;2;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
233;111988;otro;;;;;;;;;;2;2;;;8;5;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;109355;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;2;2;;;8;3;;;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235;109356;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;2;2;;;8;2;2;2;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
236;111690;realizar muestreo-analisis fsco-qco oltc;2;;2;;;;;;;2;2;;;8;5;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237;111988;otro;;;;;;;;;;2;2;;2;8;5;;;;;9;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
238;109355;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;2;2;;2;8;3;;;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
239;109356;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;2;2;;2;8;2;2;2;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;118425;otro;;;;;;;;;;2;2;;;8;5;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241;109355;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;2;2;;;8;3;3;3;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;109356;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;2;2;;;8;2;2;2;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243;111567;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;2;2;;;8;5;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
244;111690;realizar muestreo-analisis fsco-qco oltc;2;;2;;;;;;;2;2;;;8;5;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
245;111566;otro;;;;;;;;;;2;2;;;8;2;2;2;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246;111988;otro;;;;;;;;;;;2;;2;8;5;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;112135;otro;;;;;;;;;;2;2;;;8;5;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248;112135;otro;;;;;;;;;;2;2;;;8;5;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249;111567;otro;;;;;;;;;;2;2;;;8;5;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250;112135;otro;;;;;;;;;;2;2;;;8;2;;2;;;9;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;
251;109357;otro;;;;;;;;;;;;;;8;2;2;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;118425;otro;;;;;;;;;;2;2;;;8;5;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;112135;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;;;;;8;2;;2;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;112137;otro;;;;;;;;;;;;;;8;2;2;2;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255;111988;otro;;;;;;;;;;;;;;8;2;;2;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;810451;otro;2;;2;;;;;;;;;;;9;9;9;9;9;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
257;810451;otro;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;810451;realizar muestreo-analisis fsco-qco oltc;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;810451;otro;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260;810451;otro;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;111988;otro;;;;;;;;;;;;;;8;2;3;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;111988;otro;;;;;;;;;;;;;;8;2;3;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
263;118424;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;;;;;8;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
264;202718;cambiar silica oltc;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;202718;otro;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
266;109357;otro;;;;;;;;;;;;;;8;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
267;111988;otro;;;;;;;;;;2;2;;;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;112135;otro;;;;;;;;;;2;2;;;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;112136;otro;;;;;;;;;;;;;;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;111566;otro;;;;;;;;;;;;;;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
271;111690;otro;2;;2;;;;;;;;;;;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
272;111691;otro;;;;;;;;;;;;;;8;2;2;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
273;111966;otro;2;;2;;;;;;;;;;;8;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;111988;otro;;;;;;;;;;2;2;;;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
275;111988;otro;;;;;;;;;;2;2;;;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
276;112135;otro;;;;;;;;;;2;2;;;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
277;810050;cambiar silica oltc;;;;;;9;;;;;9;;;2;;;;;;;;3;;;;;;;3;;;;;3;;;;;;;;;;;;;;;;;;;;
278;109355;cambiar silica oltc;;;;;;;;;;2;2;;;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
279;109356;cambiar silica oltc;;;;;;;;;;2;2;;;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
280;109357;cambiar silica oltc;;;;;;;;;;3;3;;;8;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
281;201117;otro;2;;2;;;;;;;;;;;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
282;202718;otro;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283;2000407;otro;;;;;;8;;;;;8;;;;2;;2;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
284;201114;otro;1;;1;;;;;;;;;;;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
285;100008;realizar secado oltc;;;;;;;;;;;;;;8;5;9;;;;9;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
286;202718;realizar secado oltc;3;;3;;;1;;;;;1;;;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
287;201438;otro;2;;2;;;;;;;;;;;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
288;808997;realizar muestreo-analisis fsco-qco oltc;;;;;;9;;;;;9;;;;2;9;2;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
289;201438;otro;2;;2;;;;;;;;;;;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
290;100008;hacer seguimiento generacion anormal de gases;2;2;;;;;;;;;;;;8;5;9;;;;9;;;;;;;;;3;;;;;3;;;;;;;;;;;;;;;;;;;;
291;2000407;otro;2;;2;;;8;;;;;8;;;;2;9;2;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292;200203;otro;;;;;;;;;;;;;;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
293;809372;otro;;;;;;9;;;;;9;;;9;2;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
294;810050;cambiar silica oltc;;;;;;9;;;;;9;;;2;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
295;400039;realizar secado oltc;;;;;;1;;;;;1;;;;2;;;2;9;;;3;3;;;;;;3;3;;;;3;;;;;;;;;;;;;;;;;;;;
296;109355;otro;;;;;;;;;;2;2;;2;8;3;;;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
297;109356;otro;;;;;;;;;;2;2;;2;8;2;2;2;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
298;109357;otro;;;;;;;;;;3;3;;;8;2;2;2;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
299;123178;otro;;;;;;;;;;;;;;8;2;;;;2;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300;809372;otro;;;;;;9;;;;;9;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301;810451;otro;2;;2;;;;;;;;;;;;3;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302;119040;otro;2;;2;;;;;;;;;;;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303;119040;otro;2;;2;;;;;;;;;;;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
304;111073;otro;;;;;;;;;;;;;;8;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
305;123178;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;;;;;8;2;;;;2;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
306;123178;otro;;;;;;;;;;;;;;8;2;;;;2;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
307;400039;otro;;;;;;1;;;;;1;;;;;;;;;;;3;3;;;;;;3;3;;;;3;;;;;;;;;;;;;;;;;;;;
308;400039;otro;;;;;;1;;;;;1;;;;;;;;;;;3;3;;;;;;3;3;;;;3;;;;;;;;;;;;;;;;;;;;
309;400039;otro;;;;;;1;;;;;1;;;;;;;;;;;3;3;;;;;;3;3;;;;3;;;;;;;;;;;;;;;;;;;;
310;400039;otro;;;;;;1;;;;;1;;;;;;;;;;;3;3;;;;;;3;3;;;;3;;;;;;;;;;;;;;;;;;;;
311;810050;otro;;;;;;9;;;;;9;;;2;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
312;810050;realizar muestreo-analisis fsco-qco oltc;;;;;;9;;;;;9;;;2;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313;100008;otro;2;2;;;;;;;;;;;;8;5;9;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314;109355;cambiar silica oltc;;;;;;;;;;;;;;8;3;3;3;;3;9;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
315;109356;cambiar silica oltc;;;;;;;;;;;;;;8;2;2;2;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
316;109357;cambiar silica oltc;;;;;;;;;;3;3;;;8;2;2;2;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
317;109358;cambiar silica oltc;1;;;1;;;;;;9;9;;;8;8;8;8;;8;8;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
318;201438;otro;2;;2;;;;;;;;;;;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
319;201585;otro;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
320;400039;otro;;;;;;1;;;;;1;;;;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
321;123178;cambiar silica oltc;;;;;;;;;;;;;;8;2;;;;2;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322;123181;cambiar silica oltc;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
323;201438;otro;;;;;;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
324;201582;otro;3;;3;;;;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
325;201585;otro;;;;;;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
326;119040;otro;2;;2;;;;;;;;;;;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
327;118423;realizar muestreo-analisis fsco-qco oltc;2;;2;;;;;;;;;;;8;5;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
328;118423;realizar muestreo-analisis fsco-qco oltc;2;;2;;;;;;;;;;;8;5;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329;118423;realizar muestreo-analisis fsco-qco oltc;2;;2;;;;;;;;;;;8;5;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
330;111966;cambiar silica oltc;2;;2;;;;;;;;;;;8;5;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
331;200597;otro;;;;;;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
