;Equipo;Descripción;DGA;DGA-T.ACE;DGA-T.PAP;DGA-DP;DGA-ARC;OIL.TAP;ADIT.OIL;ADIT.OIL-DBPC;ADIT.OIL-BTZ;OIL.CORR;OIL;OIL-DIE;OIL-FQ;BUJ;INSP;INSP-ENF;INSP-PRO.M;INSP-M.OLTC;INSP-CUB;INSP-GAB;INSP-BUJ.TER;HUM.PAP;HUM.PAP-DELTA;HUM.PAP-T.M;HUM.PAP-T.TRF;HUM.PAP-FECHA;HUM.PAP-DIAG;HUM.PAP-WHRT;HUM;HUM-DELTA;HUM-T.M;HUM-T.TRF;HUM-FECHA;HUM-DIAG;FUR;FUR-2FAL;FUR-TOT;FUR-RAT;FUR-REL;FUR-MAX;PF.DEV;PF.DEV-GND;PF.DEV-BARR;PF.DEV-PRESB;SFRA;SFRA-RAD;SFRA-AXI;SFRA-BULK;SFRA-CORE;SFRA-IMP;SFRA-CONT;SFRA-SELF;SFRA-IMG;SFRA-NO.DIAG
36;2000407;revisar/cambiar motoventilador;2;;2;;;8;;;;;8;;;;5;9;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;119234;otro;3;;3;;;9;;;;;9;;;;2;2;9;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;119234;revisar/cambiar motoventilador;3;;3;;;9;;;;;9;;;;2;2;9;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;118423;revisar/cambiar motoventilador;2;;2;;;;;;;;;;;8;5;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;2000407;otro;2;;2;;;8;;;;;8;;;;5;9;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;810449;revisar/cambiar motoventilador;;;;;;;;;;;;;;2;3;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;119234;revisar/cambiar motoventilador;;;;;;9;;;;;9;;;;2;2;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;2000407;otro;2;;2;;;8;;;;;8;;;;5;9;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;118423;revisar/cambiar motoventilador;2;;2;;;;;;;;;;;8;5;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;201120;revisar/cambiar motoventilador;;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;116137;revisar/cambiar motoventilador;3;;3;;;;;;;;;;;2;3;;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;810449;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;;;;;2;3;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;202719;otro;2;;2;;;;;;;;;;;;3;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;201438;revisar/cambiar motoventilador;;;;;;;;;;;;;;;2;;2;;;;;6;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;
50;808069;revisar/cambiar motoventilador;3;;3;;;;;;;;;;;2;2;;2;;3;;;6;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;
51;2000407;revisar/cambiar motoventilador;2;;2;;;8;;;;;8;;;;5;9;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;116144;otro;;;;;;1;;;;;1;;;;3;3;;3;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;118423;otro;;;;;;;;;;;;;;8;2;;2;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;202719;otro;2;;2;;;;;;;;;;;;3;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;111691;revisar/cambiar motoventilador;2;;2;;;;;;;;;;;8;5;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;809578;realizar muestreo-analisis fsco-qco oltc;;;;;;9;;;;;2;2;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;809578;otro;;;;;;9;;;;;2;2;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;809578;otro;;;;;;9;;;;;2;2;;;5;;;;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;809578;otro;;;;;;9;;;;;2;2;;1;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;810057;otro;2;2;;;;9;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;810057;otro;2;2;;;;9;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;810057;otro;2;2;;;;9;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;810057;otro;2;2;;;;9;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;300390;otro;2;;2;;;;;;;;;;;8;3;3;;;8;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;810057;hacer seguimiento generacion anormal de gases;2;2;;;2;9;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;810057;otro;2;2;;;;9;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;810057;otro;1;1;;1;;9;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;810057;hacer seguimiento generacion anormal de gases;2;;;;2;9;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;809872;otro;3;;;;3;9;;;;;9;;;1;5;;;;8;;;3;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
70;810057;hacer seguimiento generacion anormal de gases;2;;2;;2;9;;;;;9;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;810057;hacer seguimiento generacion anormal de gases;2;;2;;2;9;;;;;9;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;810057;hacer seguimiento generacion anormal de gases;2;;2;;2;9;;;;;9;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;810057;hacer seguimiento generacion anormal de gases;1;1;;1;;9;;;;;9;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;810057;hacer seguimiento generacion anormal de gases;1;1;;1;;9;;;;;9;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;810057;hacer seguimiento generacion anormal de gases;1;1;;1;;9;;;;;9;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;810057;hacer seguimiento generacion anormal de gases;1;1;;1;;9;;;;;9;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
