Equipo;Posición medida;Valor medido;Fecha;Texto;Texto Ampliado
201174;EQUIPO TOTAL;3,00;20/12/2020;3-HUMEDAD EN PAPEL: /3-HUM_PAP= NO.EQ/ /;3-HUMEDAD EN PAPEL: /3-HUM_PAP= NO.EQ/ /5-INSP= 9-P.CUB/
2004937;EQUIPO TOTAL;5,00;20/12/2020;;
2005663;EQUIPO TOTAL;5,00;20/12/2020;;
2004934;EQUIPO TOTAL;5,00;20/12/2020;;
2004935;EQUIPO TOTAL;5,00;20/12/2020;;
2005469;EQUIPO TOTAL;5,00;20/12/2020;;
2004936;EQUIPO TOTAL;5,00;20/12/2020;;
140802;EQUIPO TOTAL;5,00;19/12/2020;/8-OIL= 8-DIE/ /9-OIL.CORR/ /8-INSP=9-EN;/8-OIL= 8-DIE/ /9-OIL.CORR/ /8-INSP=9-ENF/9-PRO-M/9-CUB/8-GAB/8-BUJ/
2009628;EQUIPO TOTAL;2,00;19/12/2020;/9-OIL=9-FQ/9-DIE//9-HUM//9-OIL.CORR/ /2;/9-OIL=9-FQ/9-DIE//9-HUM//9-OIL.CORR/ /2-INSP=9-ENF/2-PRO-M/ 8-GAB/8-BUJ/
2008167;EQUIPO TOTAL;3,00;19/12/2020;/9-OIL.CORR/ /3-INSP=9-ENF/ 3-CUB/8-GAB/;/9-OIL.CORR/ /3-INSP=9-ENF/ 3-CUB/8-GAB/8-BUJ/
2010162;EQUIPO TOTAL;5,00;19/12/2020;/9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB;/9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB/8-GAB/8-BUJ/
2011265;EQUIPO TOTAL;5,00;19/12/2020;/9-HUM//9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-;/9-HUM//9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB/8-GAB/8-BUJ/
2011274;EQUIPO TOTAL;5,00;19/12/2020;/9-HUM//9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-;/9-HUM//9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB/8-GAB/8-BUJ/
2011276;EQUIPO TOTAL;5,00;19/12/2020;/9-HUM//9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-;/9-HUM//9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB/8-GAB/8-BUJ/
2012397;EQUIPO TOTAL;5,00;19/12/2020;/9-OIL.CORR/ /5-INSP= 9-CUB/8-GAB/8-BUJ/;
2008165;EQUIPO TOTAL;3,00;19/12/2020;/9-OIL.CORR/ /3-INSP=9-ENF/ 3-CUB/8-GAB/;/9-OIL.CORR/ /3-INSP=9-ENF/ 3-CUB/8-GAB/8-BUJ/
2008166;EQUIPO TOTAL;3,00;19/12/2020;/9-OIL.CORR/ /3-INSP=9-ENF/ 3-CUB/8-GAB/;/9-OIL.CORR/ /3-INSP=9-ENF/ 3-CUB/8-GAB/8-BUJ/
2008169;EQUIPO TOTAL;3,00;19/12/2020;/9-OIL.CORR/ /3-INSP=9-ENF/ 3-CUB/8-GAB/;/9-OIL.CORR/ /3-INSP=9-ENF/ 3-CUB/8-GAB/8-BUJ/
2008170;EQUIPO TOTAL;3,00;19/12/2020;/9-OIL.CORR/ /3-INSP=9-ENF/ 3-CUB/8-GAB/;/9-OIL.CORR/ /3-INSP=9-ENF/ 3-CUB/8-GAB/8-BUJ/
2010160;EQUIPO TOTAL;5,00;19/12/2020;/9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB;/9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB/8-GAB/8-BUJ/
2010161;EQUIPO TOTAL;5,00;19/12/2020;/9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB;/9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB/8-GAB/8-BUJ/
2010163;EQUIPO TOTAL;5,00;19/12/2020;/9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB;/9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB/8-GAB/8-BUJ/
2010164;EQUIPO TOTAL;5,00;19/12/2020;/9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB;/9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB/8-GAB/8-BUJ/
2010165;EQUIPO TOTAL;5,00;19/12/2020;/9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB;/9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB/8-GAB/8-BUJ/
2011264;EQUIPO TOTAL;5,00;19/12/2020;/9-HUM//9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-;/9-HUM//9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB/8-GAB/8-BUJ/
2011272;EQUIPO TOTAL;5,00;19/12/2020;/9-HUM//9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-;/9-HUM//9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB/8-GAB/8-BUJ/
2011273;EQUIPO TOTAL;5,00;19/12/2020;/9-HUM//9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-;/9-HUM//9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB/8-GAB/8-BUJ/
2008164;EQUIPO TOTAL;3,00;19/12/2020;/9-OIL.CORR/ /3-INSP=9-ENF/ 3-CUB/8-GAB/;/9-OIL.CORR/ /3-INSP=9-ENF/ 3-CUB/8-GAB/8-BUJ/
2008168;EQUIPO TOTAL;3,00;19/12/2020;/9-OIL.CORR/ /3-INSP=9-ENF/ 3-CUB/8-GAB/;/9-OIL.CORR/ /3-INSP=9-ENF/ 3-CUB/8-GAB/8-BUJ/
2010159;EQUIPO TOTAL;5,00;19/12/2020;/9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB;/9-OIL.CORR/ /8-INSP=9-ENF/8-PRO-M/9-CUB/8-GAB/8-BUJ/
2012400;EQUIPO TOTAL;5,00;19/12/2020;/9-OIL.CORR/ /5-INSP= 9-CUB/8-GAB/8-BUJ/;
2012403;EQUIPO TOTAL;3,00;19/12/2020;3-DGA= T-PAP(C)/ /9-OIL.CORR/ /5-INSP= 9;3-DGA= T-PAP(C)/ /9-OIL.CORR/ /5-INSP= 9-CUB/8-GAB/8-BUJ/
2009626;EQUIPO TOTAL;2,00;19/12/2020;/9-OIL.CORR/ /2-INSP=9-ENF/2-PRO-M/ 8-GA;/9-OIL.CORR/ /2-INSP=9-ENF/2-PRO-M/ 8-GAB/8-BUJ/
140718;EQUIPO TOTAL;5,00;17/12/2020;/5-INSP=9-ENF/9-PRO-M/ 9-CUB/8-BUJ/9-P.C;/5-INSP=9-ENF/9-PRO-M/ 9-CUB/8-BUJ/9-P.CUB/
2006709;EQUIPO TOTAL;5,00;17/12/2020;8-DGA=8-T.ACE/8-T.PAP/8-PD/8-ARC//8-OIL=;8-DGA=8-T.ACE/8-T.PAP/8-PD/8-ARC//8-OIL=8-FQ/8-DIE//8-HUM//8-HUM_PAP//8-OIL.TAP/ /5-INSP=8-ENF/8-PRO-M/ 8-CUB/8-BUJ/8-P.CUB/
2013191;EQUIPO TOTAL;5,00;17/12/2020;/9-OIL=9-FQ/9-DIEL//9-HUM/ /5-INSP= 8-BU;/9-OIL=9-FQ/9-DIEL//9-HUM/ /5-INSP= 8-BUJ/
2013696;EQUIPO TOTAL;5,00;17/12/2020;/9-OIL=9-FQ/9-DIEL//9-HUM//9-HUM_PAP//8-;/9-OIL=9-FQ/9-DIEL//9-HUM//9-HUM_PAP//8-OIL.TAP/ /5-INSP= 8-P.CUB/
140680;EQUIPO TOTAL;3,00;17/12/2020;3-INSPECCIONES OPERATIVAS: /3-INSP= 3-PR;3-INSPECCIONES OPERATIVAS: /3-INSP= 3-PRO-M/ 8-BUJ/
2013188;EQUIPO TOTAL;5,00;17/12/2020;/9-OIL=9-FQ/9-DIEL//9-HUM/ /5-INSP= 8-BU;/9-OIL=9-FQ/9-DIEL//9-HUM/ /5-INSP= 8-BUJ/
2013189;EQUIPO TOTAL;5,00;17/12/2020;/9-OIL=9-FQ/9-DIEL//9-HUM/ /5-INSP= 8-BU;/9-OIL=9-FQ/9-DIEL//9-HUM/ /5-INSP= 8-BUJ/
2013190;EQUIPO TOTAL;5,00;17/12/2020;/9-OIL=9-FQ/9-DIEL//9-HUM/ /5-INSP= 8-BU;/9-OIL=9-FQ/9-DIEL//9-HUM/ /5-INSP= 8-BUJ/
100021;REACTOR TOTAL;5,00;17/12/2020;/5-INSP=9-ENF/ 9-GAB/8-BUJ/;
200326;INDUCTANCIA TOTAL;5,00;29/11/2020;7-DGA=7-T.ACE/7-T.PAP/7-PD/7-ARC//8-OIL=;7-DGA=7-T.ACE/7-T.PAP/7-PD/7-ARC//8-OIL= 8-DIE/ /8-HUM_PAP//8-OIL.TAP/ /5-INSP=8-ENF/8-PRO-M/ 8-CUB/8-BUJ/
810449;EQUIPO TOTAL;2,00;30/10/2020;2-INSPECCIONES OPERATIVAS: SISTEMA DE EN;2-INSPECCIONES OPERATIVAS: SISTEMA DE ENFRIAMIENTO. CONDICIÓN CUBA. /2-INSP=9-ENF/2-PRO-M/ 2-CUB/ 3-P.CUB/
111078;REACTOR TOTAL;5,00;30/10/2020;/9-OIL.CORR/ /8-INSP=8-ENF/8-PRO-M/8-CUB;/9-OIL.CORR/ /8-INSP=8-ENF/8-PRO-M/8-CUB/8-GAB/8-BUJ/
117275;REACTOR TOTAL;5,00;30/10/2020;/9-OIL.CORR/ /8-INSP=8-ENF/8-PRO-M/8-CUB;/9-OIL.CORR/ /8-INSP=8-ENF/8-PRO-M/8-CUB/8-GAB/8-BUJ/
118131;REACTOR TOTAL;5,00;30/10/2020;/9-OIL.CORR/ /8-INSP=8-ENF/8-PRO-M/8-CUB;/9-OIL.CORR/ /8-INSP=8-ENF/8-PRO-M/8-CUB/8-GAB/8-BUJ/
117272;REACTOR TOTAL;2,00;30/10/2020;/2-INSP=9-ENF/2-PRO-M/3-CUB/9-GAB/8-BUJ/;
117273;REACTOR TOTAL;2,00;30/10/2020;/2-INSP=9-ENF/2-PRO-M/ 9-GAB/8-BUJ/;
810054;TRANSFORMADOR TOTAL;5,00;20/10/2020;/8-OIL= 8-DIE/ /8-HUM_PAP//9-OIL.TAP/ /5;/8-OIL= 8-DIE/ /8-HUM_PAP//9-OIL.TAP/ /5-INSP= 8-CUB/ 8-P.CUB/
132665;REACTOR TOTAL;5,00;20/10/2020;/5-INSP=9-ENF/ 9-GAB/8-BUJ/;
132666;REACTOR TOTAL;5,00;20/10/2020;/5-INSP= 9-GAB/8-BUJ/;
133031;REACTOR TOTAL;5,00;20/10/2020;/5-INSP= 9-GAB/8-BUJ/;
2005310;EQUIPO TOTAL;2,00;20/10/2020;/2-HUM=DELTA//9-OIL.CORR/ /5-INSP= 9-GAB;/2-HUM=DELTA//9-OIL.CORR/ /5-INSP= 9-GAB/8-BUJ/
131585;REACTOR TOTAL;5,00;20/10/2020;/6-HUM /5-INSP=9-ENF/ 9-GAB/8-BUJ/;
103448;REACTOR TOTAL;3,00;20/10/2020;/3-INSP= 3-CUB/9-GAB/8-BUJ/;
203670;REACTOR TOTAL;5,00;20/10/2020;/5-INSP= 9-GAB/8-BUJ/;
2000257;REACTOR TOTAL;5,00;20/10/2020;/9-OIL.CORR/ /5-INSP= 9-GAB/8-BUJ/;
123162;REACTOR TOTAL;5,00;25/06/2020;/5-INSP=9-ENF/ 9-GAB/8-BUJ/;
123163;REACTOR TOTAL;5,00;25/06/2020;/5-INSP=9-ENF/ 9-GAB/8-BUJ/;
123164;REACTOR TOTAL;5,00;25/06/2020;/5-INSP=9-ENF/ 9-GAB/8-BUJ/;
132667;REACTOR TOTAL;5,00;25/06/2020;/8-INSP=8-ENF/8-PRO-M/8-CUB/8-GAB/8-BUJ/;
2013776;EQUIPO TOTAL;99,00;06/03/2020;;
2011599;REACTOR NUCLEO AIRE;9,00;18/12/2019;- D:0%;
2011599;EQUIPO TOTAL;9,00;10/10/2019;9-DGA=9-T.ACE/9-T.PAP/9-PD/9-ARC//8-OIL=;9-DGA=9-T.ACE/9-T.PAP/9-PD/9-ARC//8-OIL=9-FQ/8-DIE//9-HUM//9-OIL.CORR/ /8-INSP=8-ENF/8-PRO-M/8-CUB/8-GAB/8-BUJ/
2011599;REACTOR TOTAL;8,00;18/09/2019;;
140806;REACTOR NUCLEO AIRE;9,00;17/09/2019;- D:0%;
2004372;EQUIPO TOTAL;5,00;14/06/2019;7-DGA=7-T.ACE/7-T.PAP/7-PD/7-ARC/ /8-OIL;7-DGA=7-T.ACE/7-T.PAP/7-PD/7-ARC/ /8-OIL.TAP/ /5-INSP= 8-P.CUB/
2004516;EQUIPO TOTAL;5,00;27/03/2018;7-DGA=7-T.ACE/7-T.PAP/7-PD/7-ARC//8-OIL=;7-DGA=7-T.ACE/7-T.PAP/7-PD/7-ARC//8-OIL=9-FQ/8-DIE//9-HUM/ /8-OIL.TAP/ /5-INSP=9-ENF/9-PRO-M/ 8-CUB/9-BUJ/8-P.CUB/
2004516;AUTOTRAFO TOTAL;5,00;21/07/2017;7-DGA=7-T.ACE/7-T.PAP/7-PD/7-ARC//9-OIL=;7-DGA=7-T.ACE/7-T.PAP/7-PD/7-ARC//9-OIL=9-FQ/9-DIEL//9-HUM/ /8-OIL.TAP/ /5-INSP=9-ENF/9-PRO-M/ 8-CUB/9-BUJ/8-P.CUB/
200647;AUTOTRAFO TOTAL;2,00;13/11/2014;/6-HUM/6-HUM_PAP/ /2-INSP= 2-M.OLTC/;
